"Part","Value","Device","Package","Description","DESCRIPTION","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PROD_ID","RS_PART_NUMBER","RS_PRICE-STOCK","SF_SKU","SUPPLIER","VALUE",
"L1","3.3µH/±20%/450mA","INDUCTOR-0805-3.3UH","0805","Inductors","","","","","","","","","","","NDUC-13076","","","","","3.3µH/±20%/450mA",
"L2","3.3µH/±20%/450mA","INDUCTOR-0805-3.3UH","0805","Inductors","","","","","","","","","","","NDUC-13076","","","","","3.3µH/±20%/450mA",
"L3","3.3µH/±20%/450mA","INDUCTOR-0805-3.3UH","0805","Inductors","","","","","","","","","","","NDUC-13076","","","","","3.3µH/±20%/450mA",
"L4","3.3µH/±20%/450mA","INDUCTOR-0805-3.3UH","0805","Inductors","","","","","","","","","","","NDUC-13076","","","","","3.3µH/±20%/450mA",
"R1","0","560OHM_0402_1%","0402","","","","","","","","","","","","RES-13766","","","","","560",
"R2","0","560OHM_0402_1%","0402","","","","","","","","","","","","RES-13766","","","","","560",
"R3","1M","1MOHM-0402-1/4W-5%","0402","1MΩ resistor","","","","","","","","","","","C26083","","","","","1M",
"R4","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R5","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R6","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R7","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R8","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R9","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R10","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R11","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R12","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R13","4.99K","4.99KOHM-0402","0402","","","","","","","","","","","","","","","","","4.99K",
"R14","10k","10KOHM-0402-1/10W-1%","0402","10kΩ resistor","","","","","","","","","","","","","","","","10k",
"R15","10k","10KOHM-0402-1/10W-1%","0402","10kΩ resistor","","","","","","","","","","","","","","","","10k",
"R16","10k","10KOHM-0402-1/10W-1%","0402","10kΩ resistor","","","","","","","","","","","","","","","","10k",
"R17","22","22OHM-0402-1/10W-1%","0402","22Ω resistor","","","","","","","","","","","RES-12427","","","","","22",
"R18","22","22OHM-0402-1/10W-1%","0402","22Ω resistor","","","","","","","","","","","RES-12427","","","","","22",
"R19","22","22OHM-0402-1/10W-1%","0402","22Ω resistor","","","","","","","","","","","RES-12427","","","","","22",
"R20","22","22OHM-0402-1/10W-1%","0402","22Ω resistor","","","","","","","","","","","RES-12427","","","","","22",
"R21","2.2k","2.2KOHM-0603-1/10W-1%","0603","2.2kΩ resistor","","","","","","","","","","","RES-08272","","","","","2.2k",
"S1","MOMENTARY-SWITCH-SPST-PTH-6.0MM","MOMENTARY-SWITCH-SPST-PTH-6.0MM","TACTILE_SWITCH_PTH_6.0MM","Momentary Switch (Pushbutton) - SPST","","","","","","","","","",""," SWCH-08441","","","COM-00097","","",
"U1","LP2985-33DBVT","LP2985-33DBVT","SOT95P280X145-5N","150-mA LOW-NOISE LOW-DROPOUT REGULATOR WITH SHUTDOWN","","","","","","","LP2985-33DBVT","-","43J9347","SOT-23-5","","","","","Texas Instruments","",
"U2","B0505S-1WB0505S-1W","B0505S-1WB0505S-1W","DIP4","","","","","","","","","","","","","","","","","",
"U3","TPS60403DBVT","TPS60403DBVT","SOT95P280X145-5N","Unregulated 60 mA Charge pump voltage Inverter","","","","","","","TPS60403DBVT","8457786","77C0632","SOT-23-5","","","","","Texas Instruments","",
"U4","TPS73225DBVR","TPS73225DBVR","SOT95P280X145-5N","","","","","","","","","","","","","","","","","",
"U5","TPS73225DBVR","TPS73225DBVR","SOT95P280X145-5N","","","","","","","","","","","","","","","","","",
"U6","TPD4E1B06DCKR","TPD4E1B06DCKR","SC70-6","","","","","","","","","","","","","","","","","",
"U7","TPD4E1B06DCKR","TPD4E1B06DCKR","SC70-6","","","","","","","","","","","","","","","","","",
"U8","TPD4E1B06DCKR","TPD4E1B06DCKR","SC70-6","","","","","","","","","","","","","","","","","",
"U9","HT7333","HT7333","SOT-89","","","","","","","","","","","","","","","","","",
"U10","ISO721D","ISO721D","SOIC127P600X175-8N","3.3-V / 5-V HIGH-SPEED DIGITAL ISOLATORS","","","","","","","ISO721D","-","74K5333","SOIC-8","","","","","Texas Instruments","",
