"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C63","0402","40.6mm","19.8mm","40.6mm","19.8mm","40.6mm","19.8mm","T","0.0","0.1uF"
"C64","0402","3.3mm","34.2mm","3.3mm","34.2mm","3.3mm","34.2mm","T","180.0","0.1uF"
"C65","0402","16.4mm","41.7mm","16.4mm","41.7mm","16.4mm","41.7mm","T","90.0","0.1uF"
"C66","0402","27.7mm","41.7mm","27.7mm","41.7mm","27.7mm","41.7mm","T","90.0","0.1uF"
"C67","0402","20.3mm","41.7mm","20.3mm","41.7mm","20.3mm","41.7mm","T","90.0","0.1uF"
"C68","0402","14.9mm","43.4mm","14.9mm","43.4mm","14.9mm","43.4mm","T","90.0","0.1uF"
"C69","0402","3.3mm","31.8mm","3.3mm","31.8mm","3.3mm","31.8mm","T","180.0","0.1uF"
"C70","0402","25.0mm","8.0mm","25.0mm","8.0mm","25.0mm","8.0mm","T","270.0","0.1uF"
"C71","0402","39.8mm","16.1mm","39.8mm","16.1mm","39.8mm","16.1mm","T","0.0","0.1uF"
"C72","0402","42.3mm","24.1mm","42.3mm","24.1mm","42.3mm","24.1mm","T","0.0","0.1uF"
"C73","0402","42.4mm","30.2mm","42.4mm","30.2mm","42.4mm","30.2mm","T","0.0","0.1uF"
"C74","0402","3.3mm","28.7mm","3.3mm","28.7mm","3.3mm","28.7mm","T","180.0","0.1uF"
"C75","0402","2.7mm","24.6mm","2.7mm","24.6mm","2.7mm","24.6mm","T","180.0","0.1uF"
"C76","0402","2.7mm","21.6mm","2.7mm","21.6mm","2.7mm","21.6mm","T","180.0","0.1uF"
"C77","0402","19.9mm","7.1mm","19.9mm","7.1mm","19.9mm","7.1mm","T","270.0","0.1uF"
"C78","0402","55.1mm","31.4mm","55.1mm","31.4mm","55.1mm","31.4mm","T","0.0","22pF"
"C79","0402","47.9mm","31.4mm","47.9mm","31.4mm","47.9mm","31.4mm","T","0.0","22pF"
"C80","0402","56.4mm","42.0mm","56.4mm","42.0mm","56.4mm","42.0mm","T","270.0","0.1uF"
"C81","0402","79.8mm","53.2mm","79.8mm","53.2mm","79.8mm","53.2mm","T","90.0","0.1uF"
"C82","0402","81.3mm","55.4mm","81.3mm","55.4mm","81.3mm","55.4mm","T","270.0","0.1uF"
"C83","0402","65.4mm","52.6mm","65.4mm","52.6mm","65.4mm","52.6mm","T","90.0","0.1uF"
"C84","0402","65.4mm","55.2mm","65.4mm","55.2mm","65.4mm","55.2mm","T","270.0","0.1uF"
"C85","0402","18.9mm","4.3mm","18.9mm","4.3mm","18.9mm","4.3mm","T","270.0","0.1uF"
"C86","0402","3.7mm","19.8mm","3.7mm","19.8mm","3.7mm","19.8mm","T","180.0","0.1uF"
"C87","0402","12.1mm","8.3mm","12.1mm","8.3mm","12.1mm","8.3mm","T","270.0","0.1uF"
"C88","0402","3.7mm","18.2mm","3.7mm","18.2mm","3.7mm","18.2mm","T","180.0","0.1uF"
"C89","0402","31.4mm","10.0mm","31.4mm","10.0mm","31.4mm","10.0mm","T","180.0","0.1uF"
"C90","0402","17.8mm","10.3mm","17.8mm","10.3mm","17.8mm","10.3mm","T","180.0","2.2uF"
"C91","0402","15.2mm","10.3mm","15.2mm","10.3mm","15.2mm","10.3mm","T","0.0","2.2uF"
"C92","0402","26.5mm","8.4mm","26.5mm","8.4mm","26.5mm","8.4mm","T","270.0","0.1uF"
"C93","0402","61.1mm","23.7mm","61.1mm","23.7mm","61.1mm","23.7mm","T","90.0","0.1uF"
"C94","0402","71.0mm","24.0mm","71.0mm","24.0mm","71.0mm","24.0mm","T","90.0","0.1uF"
"C95","0603","36.1mm","86.5mm","36.1mm","86.5mm","36.1mm","86.5mm","T","270.0","4.7uF"
"C96","0603","59.7mm","87.6mm","59.7mm","87.6mm","59.7mm","87.6mm","T","180.0","4.7uF"
"D1","LED-0603","71.2mm","83.2mm","71.2mm","83.2mm","71.2mm","83.2mm","T","180.0","GREEN"
"D2","LED-0603","46.1mm","42.3mm","46.1mm","42.3mm","46.1mm","42.3mm","T","270.0","RED"
"D3","LED-0603","44.1mm","42.3mm","44.1mm","42.3mm","44.1mm","42.3mm","T","270.0","RED"
"D4","LED-0603","3.2mm","14.2mm","3.2mm","14.2mm","3.2mm","14.2mm","T","180.0","RED"
"D5","LED-0603","3.2mm","12.7mm","3.2mm","12.7mm","3.2mm","12.7mm","T","180.0","RED"
"D6","LED-0603","3.2mm","11.2mm","3.2mm","11.2mm","3.2mm","11.2mm","T","180.0","RED"
"D7","LED-0603","3.2mm","9.7mm","3.2mm","9.7mm","3.2mm","9.7mm","T","180.0","RED"
"D8","LED-0603","3.2mm","8.1mm","3.2mm","8.1mm","3.2mm","8.1mm","T","180.0","RED"
"D9","LED-0603","3.2mm","6.6mm","3.2mm","6.6mm","3.2mm","6.6mm","T","180.0","RED"
"D10","LED-0603","8.5mm","3.6mm","8.5mm","3.6mm","8.5mm","3.6mm","T","270.0","RED"
"D11","LED-0603","10.0mm","3.6mm","10.0mm","3.6mm","10.0mm","3.6mm","T","270.0","RED"
"F1","1206","32.3mm","87.9mm","32.3mm","87.9mm","32.3mm","87.9mm","T","180.0","6V/2A"
"IC1","QFP50P1200X1200X120-64N","35.2mm","66.5mm","35.2mm","66.5mm","35.2mm","66.5mm","T","0.0","ADS1299-X"
"IC2","SOIC127P1032X265-16N","72.1mm","57.0mm","72.1mm","57.0mm","72.1mm","57.0mm","T","180.0","ADUM4160BRWZ"
"J11","MICRO-SD-SOCKET","70.9mm","6.5mm","70.9mm","6.5mm","70.9mm","6.5mm","T","270.0","MICRO-SD_CARD_SOCKET"
"L1","0805","72.4mm","77.9mm","72.4mm","77.9mm","72.4mm","77.9mm","T","0.0","3.3µH/±20%/450mA"
"L2","0805","51.0mm","76.2mm","51.0mm","76.2mm","51.0mm","76.2mm","T","180.0","3.3µH/±20%/450mA"
"L3","0805","18.2mm","81.9mm","18.2mm","81.9mm","18.2mm","81.9mm","T","180.0","3.3µH/±20%/450mA"
"L4","0805","35.9mm","49.3mm","35.9mm","49.3mm","35.9mm","49.3mm","T","180.0","3.3µH/±20%/450mA"
"L5","0805","32.3mm","85.6mm","32.3mm","85.6mm","32.3mm","85.6mm","T","0.0","3.3µH/±20%/450mA"
"L6","0805","59.7mm","89.3mm","59.7mm","89.3mm","59.7mm","89.3mm","T","0.0","3.3µH/±20%/450mA"
"R1","0402","49.5mm","54.2mm","49.5mm","54.2mm","49.5mm","54.2mm","T","180.0","0"
"R2","0402","52.5mm","54.2mm","52.5mm","54.2mm","52.5mm","54.2mm","T","0.0","0"
"R3","0402","28.6mm","80.0mm","28.6mm","80.0mm","28.6mm","80.0mm","T","180.0","1M"
"R4","0402","9.6mm","44.5mm","9.6mm","44.5mm","9.6mm","44.5mm","T","0.0","0OHM"
"R5","0402","16.2mm","76.6mm","16.2mm","76.6mm","16.2mm","76.6mm","T","0.0","4.99K"
"R6","0402","16.2mm","73.3mm","16.2mm","73.3mm","16.2mm","73.3mm","T","0.0","4.99K"
"R7","0402","16.2mm","70.0mm","16.2mm","70.0mm","16.2mm","70.0mm","T","0.0","4.99K"
"R8","0402","16.2mm","66.7mm","16.2mm","66.7mm","16.2mm","66.7mm","T","0.0","4.99K"
"R9","0402","16.2mm","63.4mm","16.2mm","63.4mm","16.2mm","63.4mm","T","0.0","4.99K"
"R10","0402","16.2mm","60.1mm","16.2mm","60.1mm","16.2mm","60.1mm","T","0.0","4.99K"
"R11","0402","16.2mm","56.8mm","16.2mm","56.8mm","16.2mm","56.8mm","T","0.0","4.99K"
"R12","0402","16.2mm","53.5mm","16.2mm","53.5mm","16.2mm","53.5mm","T","0.0","4.99K"
"R13","0402","16.2mm","50.2mm","16.2mm","50.2mm","16.2mm","50.2mm","T","0.0","4.99K"
"R14","0402","49.1mm","72.0mm","49.1mm","72.0mm","49.1mm","72.0mm","T","90.0","10k"
"R15","0402","53.5mm","72.0mm","53.5mm","72.0mm","53.5mm","72.0mm","T","90.0","10k"
"R16","0402","51.4mm","72.0mm","51.4mm","72.0mm","51.4mm","72.0mm","T","90.0","10k"
"R17","0402","48.3mm","68.3mm","48.3mm","68.3mm","48.3mm","68.3mm","T","0.0","0OHM"
"R18","0402","48.3mm","66.3mm","48.3mm","66.3mm","48.3mm","66.3mm","T","0.0","0OHM"
"R19","0402","48.3mm","64.8mm","48.3mm","64.8mm","48.3mm","64.8mm","T","0.0","0OHM"
"R20","0402","48.3mm","62.2mm","48.3mm","62.2mm","48.3mm","62.2mm","T","0.0","0OHM"
"R21","0603","71.2mm","84.8mm","71.2mm","84.8mm","71.2mm","84.8mm","T","0.0","2.2k"
"R22","0402","31.1mm","4.4mm","31.1mm","4.4mm","31.1mm","4.4mm","T","90.0","1k"
"R23","0402","29.5mm","7.2mm","29.5mm","7.2mm","29.5mm","7.2mm","T","90.0","10k"
"R24","0402","34.7mm","7.4mm","34.7mm","7.4mm","34.7mm","7.4mm","T","270.0","10k"
"R25","0402","41.4mm","10.7mm","41.4mm","10.7mm","41.4mm","10.7mm","T","90.0","10k"
"R26","0402","43.9mm","10.7mm","43.9mm","10.7mm","43.9mm","10.7mm","T","90.0","10k"
"R27","0402","48.8mm","10.7mm","48.8mm","10.7mm","48.8mm","10.7mm","T","90.0","10k"
"R28","0402","51.6mm","10.7mm","51.6mm","10.7mm","51.6mm","10.7mm","T","90.0","10k"
"R29","0402","39.1mm","10.7mm","39.1mm","10.7mm","39.1mm","10.7mm","T","270.0","10k"
"R30","0402","53.8mm","10.7mm","53.8mm","10.7mm","53.8mm","10.7mm","T","90.0","10k"
"R31","0402","4.3mm","16.6mm","4.3mm","16.6mm","4.3mm","16.6mm","T","0.0","0OHM"
"R32","0402","36.4mm","11.0mm","36.4mm","11.0mm","36.4mm","11.0mm","T","180.0","0OHM"
"R33","0402","9.4mm","46.0mm","9.4mm","46.0mm","9.4mm","46.0mm","T","0.0","0OHM"
"R34","0402","46.1mm","45.2mm","46.1mm","45.2mm","46.1mm","45.2mm","T","90.0","4.7k"
"R35","0402","44.1mm","45.2mm","44.1mm","45.2mm","44.1mm","45.2mm","T","90.0","4.7k"
"R36","0402","43.9mm","13.0mm","43.9mm","13.0mm","43.9mm","13.0mm","T","0.0","22"
"R37","0402","43.9mm","14.4mm","43.9mm","14.4mm","43.9mm","14.4mm","T","0.0","22"
"R38","0402","48.0mm","14.7mm","48.0mm","14.7mm","48.0mm","14.7mm","T","0.0","22"
"R39","0402","48.0mm","16.1mm","48.0mm","16.1mm","48.0mm","16.1mm","T","0.0","22"
"R40","0402","5.1mm","23.1mm","5.1mm","23.1mm","5.1mm","23.1mm","T","180.0","22"
"R41","0402","70.5mm","33.1mm","70.5mm","33.1mm","70.5mm","33.1mm","T","0.0","4.7k"
"R42","0402","70.4mm","30.9mm","70.4mm","30.9mm","70.4mm","30.9mm","T","0.0","4.7k"
"R43","0402","70.5mm","28.7mm","70.5mm","28.7mm","70.5mm","28.7mm","T","0.0","4.7k"
"R44","0402","70.5mm","26.5mm","70.5mm","26.5mm","70.5mm","26.5mm","T","0.0","4.7k"
"R45","0402","84.9mm","31.0mm","84.9mm","31.0mm","84.9mm","31.0mm","T","0.0","1k"
"R46","0402","84.9mm","28.4mm","84.9mm","28.4mm","84.9mm","28.4mm","T","0.0","1k"
"R47","0402","84.9mm","25.9mm","84.9mm","25.9mm","84.9mm","25.9mm","T","0.0","1k"
"R48","0402","84.9mm","23.3mm","84.9mm","23.3mm","84.9mm","23.3mm","T","0.0","1k"
"R49","0402","79.8mm","58.8mm","79.8mm","58.8mm","79.8mm","58.8mm","T","180.0","22"
"R50","0402","79.8mm","60.2mm","79.8mm","60.2mm","79.8mm","60.2mm","T","180.0","22"
"R51","0402","71.1mm","48.8mm","71.1mm","48.8mm","71.1mm","48.8mm","T","270.0","22"
"R52","0402","72.8mm","48.8mm","72.8mm","48.8mm","72.8mm","48.8mm","T","270.0","22"
"R53","0402","53.0mm","18.7mm","53.0mm","18.7mm","53.0mm","18.7mm","T","90.0","10k"
"R54","0402","51.6mm","18.7mm","51.6mm","18.7mm","51.6mm","18.7mm","T","90.0","10k"
"R55","0402","50.2mm","18.7mm","50.2mm","18.7mm","50.2mm","18.7mm","T","90.0","10k"
"R56","0402","63.3mm","12.3mm","63.3mm","12.3mm","63.3mm","12.3mm","T","270.0","10k"
"R57","0402","6.9mm","14.2mm","6.9mm","14.2mm","6.9mm","14.2mm","T","0.0","1k"
"R58","0402","6.9mm","12.7mm","6.9mm","12.7mm","6.9mm","12.7mm","T","0.0","1k"
"R59","0402","6.9mm","11.2mm","6.9mm","11.2mm","6.9mm","11.2mm","T","0.0","1k"
"R60","0402","6.9mm","9.7mm","6.9mm","9.7mm","6.9mm","9.7mm","T","0.0","1k"
"R61","0402","6.9mm","8.1mm","6.9mm","8.1mm","6.9mm","8.1mm","T","0.0","1k"
"R62","0402","6.9mm","6.6mm","6.9mm","6.6mm","6.9mm","6.6mm","T","0.0","1k"
"R63","0402","12.2mm","6.0mm","12.2mm","6.0mm","12.2mm","6.0mm","T","0.0","1k"
"R64","0402","12.2mm","4.4mm","12.2mm","4.4mm","12.2mm","4.4mm","T","0.0","1k"
"R65","0402","21.6mm","10.4mm","21.6mm","10.4mm","21.6mm","10.4mm","T","180.0","22k"
"R66","0402","55.2mm","72.0mm","55.2mm","72.0mm","55.2mm","72.0mm","T","90.0","10k"
"U$3","SOIC16","51.3mm","38.2mm","51.3mm","38.2mm","51.3mm","38.2mm","T","270.0","CH340G"
"U1","SOT95P280X145-5N","50.6mm","56.8mm","50.6mm","56.8mm","50.6mm","56.8mm","T","180.0","LP2985-33DBVT"
"U3","SOT95P280X145-5N","54.7mm","80.5mm","54.7mm","80.5mm","54.7mm","80.5mm","T","180.0","TPS60403DBVT"
"U4","SOT95P280X145-5N","22.4mm","82.8mm","22.4mm","82.8mm","22.4mm","82.8mm","T","180.0","TPS73225DBVR"
"U5","SOT95P280X145-5N","39.8mm","50.2mm","39.8mm","50.2mm","39.8mm","50.2mm","T","180.0","TPS73225DBVR"
"U6","SC70-6","11.0mm","74.2mm","11.0mm","74.2mm","11.0mm","74.2mm","T","270.0","TPD4E1B06DCKR"
"U7","SC70-6","11.0mm","62.0mm","11.0mm","62.0mm","11.0mm","62.0mm","T","270.0","TPD4E1B06DCKR"
"U8","SC70-6","11.0mm","51.4mm","11.0mm","51.4mm","11.0mm","51.4mm","T","270.0","TPD4E1B06DCKR"
"U9","SOT-89","68.0mm","74.1mm","68.0mm","74.1mm","68.0mm","74.1mm","T","0.0","HT7333"
"U10","SOT-89","4.9mm","41.6mm","4.9mm","41.6mm","4.9mm","41.6mm","T","90.0","HT7318"
"U11","QFP50P2600X2600X160-176N","22.7mm","24.9mm","22.7mm","24.9mm","22.7mm","24.9mm","T","0.0","TMS320F28335PGFA"
"U12","SOT-89","67.3mm","68.6mm","67.3mm","68.6mm","67.3mm","68.6mm","T","0.0","HT7333"
"U13","SOT23-3","27.8mm","4.8mm","27.8mm","4.8mm","27.8mm","4.8mm","T","0.0","2.93V"
"U14","SOT143","32.0mm","7.2mm","32.0mm","7.2mm","32.0mm","7.2mm","T","0.0","MAX811-812"
"U15","SOIC127P600X175-8N","65.9mm","22.7mm","65.9mm","22.7mm","65.9mm","22.7mm","T","180.0","ISO721D"
"Y1","CRYSTAL-SMD-3.2X2.5MM","44.1mm","20.8mm","44.1mm","20.8mm","44.1mm","20.8mm","T","90.0","30MHz"
"Y2","CRYSTAL-SMD-3.2X2.5MM","51.4mm","31.4mm","51.4mm","31.4mm","51.4mm","31.4mm","T","0.0","12MHz"
